State,City,PM2.5,PM10,O3,SO2,CO,Wind Speed,Humidity,Temp,AQI,AQI Type
Assam,Garehagi,14.3,20.4,,,,13.0,60.0,33.0,24.0,Good
Assam,Garmari,15.7,22.4,,,,8.0,63.0,33.0,27.0,Good
Assam,No.1 Barjuli T.E.,15.7,22.4,,,,12.0,62.0,33.0,27.0,Good
Assam,Tezpur,15.7,22.4,,,,11.0,60.0,34.0,27.0,Good
Bihar,Rajgir,22.1,31.5,,,,10.0,58.0,33.0,37.0,Good
Bihar,Islampur,22.1,31.5,,,,12.0,57.0,33.0,37.0,Good
Bihar,Khusrupur,22.1,31.5,,,,7.0,54.0,34.0,37.0,Good
Bihar,Chistipur,22.1,31.5,,,,8.0,55.0,33.0,37.0,Good
Bihar,Nawada,14.7,21.0,,,,8.0,56.0,33.0,25.0,Good
Bihar,Bihar Sharif,22.1,31.5,,,,8.0,62.0,32.0,37.0,Good
Bihar,Warisaliganj,22.1,31.5,,,,7.0,58.0,33.0,37.0,Good
Bihar,Masaurhi,22.1,31.5,,,,7.0,55.0,33.0,37.0,Good
Bihar,Silao,22.1,31.5,,,,9.0,60.0,33.0,37.0,Good
Bihar,Jahanabad,18.2,25.9,,,,10.0,52.0,34.0,31.0,Good
Bihar,Hisua,14.7,21.0,,,,10.0,55.0,33.0,25.0,Good
Punjab,Sahibzada Ajit Singh Nagar,48.0,69.3,,,,8.0,61.0,32.0,81.0,Satisfactory
Chandigarh,Chandigarh,48.0,69.3,,,,7.0,62.0,31.0,81.0,Satisfactory
Punjab,Banur,48.0,69.3,,,,11.0,63.0,32.0,81.0,Satisfactory
Punjab,Kharar,48.0,69.3,,,,6.0,60.0,32.0,81.0,Satisfactory
Haryana,Orian,48.0,69.3,,,,2.0,75.0,28.0,81.0,Satisfactory
Haryana,Pinjore,48.0,69.3,,,,4.0,72.0,29.0,81.0,Satisfactory
Punjab,Sheikhpur Khurd,48.0,69.3,,,,12.0,65.0,31.0,81.0,Satisfactory
Haryana,Panchkula,48.0,69.3,,,,8.0,64.0,31.0,81.0,Satisfactory
Himachal Pradesh,Baddi,48.0,69.3,,,,2.0,68.0,30.0,81.0,Satisfactory
Himachal Pradesh,Parwanoo,48.0,69.3,,,,2.0,78.0,26.0,81.0,Satisfactory
Himachal Pradesh,Kasauli,48.0,69.3,,,,1.0,82.0,24.0,81.0,Satisfactory
Chhattisgarh,Bhatapara,5.2,7.4,,,,11.0,66.0,31.0,9.0,Good
Chhattisgarh,Durg,5.2,7.4,,,,14.0,68.0,30.0,9.0,Good
Chhattisgarh,Lahraud,5.6,8.0,,,,8.0,66.0,30.0,10.0,Good
Chhattisgarh,Bhilai,5.2,7.4,,,,14.0,68.0,30.0,9.0,Good
Chhattisgarh,Charoda,5.2,7.4,,,,14.0,67.0,30.0,9.0,Good
Chhattisgarh,Bemetra,5.2,7.4,,,,16.0,62.0,31.0,9.0,Good
Chhattisgarh,Dhamtari,2.4,3.4,,,,11.0,73.0,29.0,4.0,Good
Chhattisgarh,Patan,5.2,7.4,,,,13.0,70.0,29.0,9.0,Good
Chhattisgarh,Baloda Bazar,5.6,8.0,,,,9.0,70.0,30.0,10.0,Good
Chhattisgarh,Arang,5.2,7.4,,,,11.0,67.0,29.0,9.0,Good
Chhattisgarh,Raipur,5.2,7.4,,,,6.0,65.0,29.0,9.0,Good
Maharashtra,Jawhar,17.0,33.4,,,,8.0,97.0,23.0,34.0,Good
Gujarat,Valsad,21.4,52.1,,,,14.0,93.0,26.0,53.0,Satisfactory
Dadra and Nagar Haveli,Dadra,21.4,52.1,,,,11.0,91.0,26.0,53.0,Satisfactory
Gujarat,Vapi,21.4,52.1,,,,14.0,90.0,26.0,53.0,Satisfactory
Gujarat,Killa-pardi,21.4,52.1,,,,13.0,93.0,26.0,53.0,Satisfactory
Gujarat,Dharampur,13.3,24.5,,,,8.0,97.0,25.0,25.0,Good
